Group,clients_with_error,error_start_to_step_1,error_step_1_to_step_2,error_step_2_to_step_3,error_step_3_to_confirm,total_clients,p_value
Test,11905,13.824859974149073,10.61234381732012,6.952822059457131,10.364605773373546,26968,6.247505366322125e-116
Control,12054,23.70064307682749,10.944732672652147,6.42,9.46,23532,-
